name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,ID
"TITLE: Optimal sampling for hemicubes WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",Optimal sampling for hemicubes,5,6,9,1,3,10,7,8,4,2,1
"TITLE: Volume rendering of DCT-based compressed 3D scalar data WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",Volume rendering of DCT-based compressed 3D scalar data,5,6,9,1,3,10,7,8,4,2,2
"TITLE: Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets WORDS: rendering, approach, visualization, method, vector, efficient, surface, model, cells, surfaces",Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets,5,6,9,1,3,10,7,8,4,2,3
"TITLE: Vision-an architecture for global illumination calculations WORDS: rendering, approach, visualization, method, vector, surface, model, cells, surfaces, flow",Vision-an architecture for global illumination calculations,5,7,8,1,3,10,6,9,4,2,4
"TITLE: Visualizing network data WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",Visualizing network data,6,7,9,1,4,10,5,8,3,2,5
"TITLE: Real time responsive animation with personality WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",Real time responsive animation with personality,5,7,9,1,2,10,6,8,4,3,6
"TITLE: Quaternion frame approach to streamline visualization WORDS: approach, rendering, visualization, method, vector, efficient, surface, model, cells, surfaces",Quaternion frame approach to streamline visualization,5,6,8,1,3,10,7,9,4,2,7
"TITLE:  WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",,6,5,9,1,3,10,7,8,4,2,8
"TITLE:  WORDS: approach, rendering, visualization, method, vector, efficient, surface, model, cells, surfaces",,5,7,9,1,3,10,6,8,4,2,9
"TITLE: A predictor-corrector technique for visualizing unsteady flow WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",A predictor-corrector technique for visualizing unsteady flow,7,6,9,1,3,10,5,8,4,2,10
"TITLE: Grouping volume renderers for enhanced visualization in computational fluid dynamics WORDS: approach, rendering, visualization, method, vector, efficient, surface, model, cells, surfaces",Grouping volume renderers for enhanced visualization in computational fluid dynamics,4,7,8,1,3,10,6,9,5,2,11
"TITLE: Visualization of geometric algorithms WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",Visualization of geometric algorithms,5,7,8,1,3,10,6,9,4,2,12
"TITLE:  WORDS: rendering, approach, visualization, method, vector, surface, model, cells, surfaces, flow",,4,6,9,1,3,10,7,8,5,2,13
"TITLE: Optical models for direct volume rendering WORDS: approach, rendering, visualization, method, vector, efficient, surface, model, cells, surfaces",Optical models for direct volume rendering,5,6,8,1,3,10,7,9,4,2,14
"TITLE: Calibration requirements and procedures for a monitor-based augmented reality system WORDS: approach, rendering, visualization, method, vector, efficient, surface, model, cells, surfaces",Calibration requirements and procedures for a monitor-based augmented reality system,5,6,9,1,4,10,7,8,3,2,15
"TITLE: Line art rendering via a coverage of isoparametric curves WORDS: approach, rendering, visualization, method, vector, efficient, surface, model, cells, surfaces",Line art rendering via a coverage of isoparametric curves,7,5,9,1,3,10,6,8,4,2,16
"TITLE: Dynamic color quantization of video sequences WORDS: rendering, approach, visualization, method, vector, surface, model, cells, surfaces, flow",Dynamic color quantization of video sequences,6,5,9,1,3,10,7,8,4,2,17
"TITLE: On particle path generation based on quadrilinear interpolation and Bernstein-Bezier polynomials WORDS: rendering, visualization, method, approach, vector, surface, model, cells, surfaces, flow",On particle path generation based on quadrilinear interpolation and Bernstein-Bezier polynomials,9,5,7,1,4,10,6,8,3,2,18
"TITLE: A unified hierarchical algorithm for global illumination with scattering volumes and object clusters WORDS: approach, rendering, visualization, method, vector, efficient, surface, model, cells, surfaces",A unified hierarchical algorithm for global illumination with scattering volumes and object clusters,5,6,8,1,4,10,7,9,3,2,19
"TITLE: Collision detection for interactive graphics applications WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",Collision detection for interactive graphics applications,5,6,9,1,3,10,7,8,4,2,20
"TITLE: Hybrid scan-conversion of circles WORDS: rendering, visualization, method, vector, approach, surface, model, cells, surfaces, flow",Hybrid scan-conversion of circles,6,7,9,1,3,10,5,8,4,2,21
"TITLE: Modeling and visualization of knitwear WORDS: rendering, approach, visualization, method, vector, surface, model, cells, surfaces, flow",Modeling and visualization of knitwear,5,7,8,1,3,10,6,9,4,2,22
"TITLE: Specification by-example of virtual agents behavior WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",Specification by-example of virtual agents behavior,6,7,9,1,3,10,5,8,4,2,23
"TITLE: Exploiting triangulated surface extraction using tetrahedral decomposition WORDS: rendering, approach, visualization, method, vector, surface, model, cells, surfaces, flow",Exploiting triangulated surface extraction using tetrahedral decomposition,6,5,9,1,3,10,7,8,4,2,24
"TITLE: Octree-R: an adaptive octree for efficient ray tracing WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",Octree-R: an adaptive octree for efficient ray tracing,6,7,8,1,3,10,5,9,4,2,25
"TITLE: Automatic isosurface propagation using an extrema graph and sorted boundary cell lists WORDS: rendering, visualization, method, vector, approach, surface, model, cells, surfaces, flow",Automatic isosurface propagation using an extrema graph and sorted boundary cell lists,5,6,9,1,3,10,7,8,4,2,26
